video_id;video_title;channel;author;comment;published_at;like_count;clean;sentiment;confidence
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Taufiq14;"23:10 
MAJU KABEH! SIKAT! 😂😂😂🤣🤣🤣";2026-06-05T12:58:08Z;0;maju kabeh sikat;positif;0.9686
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@siahxjsjxjzjz;ASEM NGAKAK BGT;2026-06-05T09:59:17Z;0;asem terbahak-bahak sangat;positif;0.8885
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@AndiKurniawan-d5g;Ngakak😂😂😂😂😂;2026-06-05T05:32:40Z;0;terbahak-bahak;positif;0.6179
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@flocipink;emang bener soto enak daerah jateng aku kemarin bikin soto tauco khas Pekalongan Pemalang;2026-06-04T19:51:54Z;0;memang benar soto enak daerah jateng saya kemarin bikin soto tauco khas pekalongan pemalang;positif;0.9969
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@flocipink;THAT KAYA KONTET PECAH KETAWA GUA😭😭😭😭;2026-06-04T19:34:06Z;0;that kaya kontet pecah tertawa saya;negatif;0.9865
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@ArifBudiWicaksono-h4d;Autobot vs decepticon;2026-06-04T17:39:35Z;0;autobot vs decepticon;netral;0.974
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@gamedenibro;"Dr. Gia: Jangan sering martubasi ya... 
Dr. Tirta: Cola Coli Cola Coli";2026-06-04T17:37:58Z;0;dari gia jangan sering martubasi ya dari tirta cola coli cola coli;negatif;0.7717
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@DoomStecu;57:48 bang Radit shock😂;2026-06-04T16:57:13Z;1;bang radit shock;negatif;0.9961
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Agggieee;Harusnya lagu kesukaan dokter tirta lost control aja 😂;2026-06-04T15:24:41Z;0;harusnya lagu kesukaan dokter tirta lost control saja;negatif;0.9882
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@fappyputrakomul3293;Orang kok bisa se soft spoken gini y😅;2026-06-04T14:49:11Z;0;orang kok bisa se soft spoken gini y;negatif;0.8083
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@NurAzkia-i6x;"dr gia : kasih sayang
dr tirta : kasih paham";2026-06-04T14:27:27Z;0;dari gia kasih sayang dari tirta kasih paham;positif;0.9918
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@HongLhowen;"Dr. Tirta & Dr Gia, Sama"" DOKTER JENIUS 👍";2026-06-04T05:27:57Z;1;dari tirta dari gia sama dokter jenius;positif;0.9883
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Myflower21;Seru banget iniii😂 part 2 dong bang radit;2026-06-04T03:10:08Z;0;seru sekali inii part dong bang radit;positif;0.9905
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@YenitaYenita-nc9vl;Dengan Kepribadian Yg Kontras Justru Tambah Seru❤😂❤;2026-06-04T02:21:57Z;0;dengan kepribadian yang kontras justru tambah seru;negatif;0.9642
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Kirya_C0re;kasih sayang vs kasih paham;2026-06-04T02:05:33Z;0;kasih sayang vs kasih paham;positif;0.995
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@MahiaKaputri;dokter tirta mirip maxwell banget ihh T_T;2026-06-04T01:33:01Z;0;dokter tirta mirip maxwell sekali ihh t_t;netral;0.7495
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Fahira-y9h;Keren nih Collab nya😅😅 Raditya bagaikan sabun, yg berusaha menyatukan air dan minyak😂😂;2026-06-03T17:35:28Z;0;keren nih collab nya raditya bagaikan sabun yang berusaha menyatukan air dan minyak;positif;0.9924
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@LawakanRecehhh;54:01 😂;2026-06-03T15:20:06Z;0;;positif;0.8912
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@HusenRiduan;"54:21
dr gia  : Sushi
dr tirta : 🗣️SHOTO";2026-06-03T08:15:05Z;0;dari gia sushi dari tirta shoto;netral;0.9754
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Kiki-siQQ;Dika ky lg momong ade2nya;2026-06-03T08:09:57Z;0;dika ky lagi momong ade2nya;negatif;0.869
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@sehatsantaii;Haha 😂;2026-06-03T05:30:33Z;0;haha;negatif;0.9441
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@havizulumam4836;🤣🤣🤣;2026-06-02T19:58:14Z;0;;positif;0.8912
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@wulanramadani8603;"Kalau pasien berobat sama dokter tirta malah parah jadinya
Dokter tirta kasar
Dokter Gia halus";2026-06-02T14:59:37Z;0;kalau pasien berobat sama dokter tirta malah parah jadinya dokter tirta kasar dokter gia halus;negatif;0.9952
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@AhmadReza-s5e3u;Iklan nya lama banget;2026-06-02T03:17:39Z;0;iklan nya lama sekali;negatif;0.9955
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Muhammad-k1s7j;Maca ci;2026-06-01T11:14:18Z;0;maca ci;positif;0.7475
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@maulanaalfahri494;Cerita pertama terlalu dongeng mas gia;2026-06-01T06:58:52Z;0;cerita pertama terlalu dongeng mas gia;negatif;0.9926
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@brownnsugarrrrro_o;"dr. gia : aku salmon lgi 😊
dr. tirta : SOTO! SOTO TANPA KECAP 😡!";2026-06-01T06:07:18Z;1;dari gia saya salmon lagi dari tirta soto soto tanpa kecap;negatif;0.8306
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@maharinihendrarti9850;Smg program bayi tabung dr Gia berhasil. Aamiin.....;2026-06-01T04:57:34Z;0;semoga program bayi tabung dari gia berhasil amin;netral;0.9159
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@brownnsugarrrrro_o;DR. TIRTA NAKALL BGTTT IH 😭😭;2026-06-01T04:54:15Z;1;dari tirta nakall bgtt ih;negatif;0.9956
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@adrieljosephgulo;ternyata surga dan neraka tuh bisa dipertemukan yakkk ??? wkwk 😅😅😂😂;2026-06-01T03:11:23Z;1;ternyata surga dan neraka tuh bisa dipertemukan yakk wkwk;negatif;0.9957
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@Sharelife_14;"dr Trita : ingatan terjauh berdiri beraknya bulet kek bakso.
dr Gia : Main Lego 
😭";2026-05-31T21:32:22Z;2;dari trita ingatan terjauh berdiri beraknya bulet kek bakso dari gia main lego;positif;0.6798
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@effrienpocci;Dokter tirta kan suka soto coba di sidoarjo dong dok ada soto MU;2026-05-31T18:21:06Z;0;dokter tirta kan suka soto coba di sidoarjo dong dok ada soto mu;positif;0.6047
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@ReizalKirana;"54:00 

dr. gia: cinta salmon aku😊😊

dr. Tirta: SOTO SOTO TANPA KECAP😡😡😡";2026-05-31T13:56:26Z;0;dari gia cinta salmon saya dari tirta soto soto tanpa kecap;positif;0.9898
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@10.Biantara;😮;2026-05-31T11:28:46Z;1;;positif;0.8912
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@AnisaUlii_nyawit;Ngakak bgt sama citot;2026-05-31T10:36:56Z;1;terbahak-bahak sangat sama citot;positif;0.5999
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@AnisaUlii_nyawit;Ketawanya dokter Gia ketawa CEO;2026-05-31T09:58:46Z;1;ketawanya dokter gia tertawa ceo;positif;0.9002
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@latifiaputriarifin3468;dr. Gia positive vibes bangett😭🙂;2026-05-31T09:08:53Z;1;dari gia positive vibes sangat;positif;0.9765
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@latifiaputriarifin3468;Ga berhenti ngakak😭🤣;2026-05-31T09:08:20Z;1;tidak berhenti terbahak-bahak;positif;0.9937
dSq0Z5XpoLc;Pertemuan Bersejarah dr. Tirta dan dr. Gia;Raditya Dika;@davidpratama037;😂😂😂😂 44:12 tirta 3 tahun;2026-05-30T18:55:50Z;1;tirta tahun;netral;0.884
